package,first_vertical,first_brand,subscriptions
Weekly,Instore,KFC,12172
Monthly,Instore,KFC,6382
Weekly,Instore,J. (Junaid Jamshed),2776
Weekly,Instore,Domino's,2209
Weekly,Instore,Tim Hortons,2029
Weekly,Instore,14th Street Pizza Co.,1958
Weekly,Instore,Hardee's,1462
Monthly,Instore,Tim Hortons,1358
Weekly,Instore,Raiha Cinegold - Cinema,1107
Monthly,Instore,J. (Junaid Jamshed),872
Monthly,Instore,Hardee's,814
Weekly,Instore,Super Space,801
Weekly,Ecom,AirSial,737
Weekly,Instore,McDonald's,622
Monthly,Instore,Domino's,601
Weekly,Instore,The Arena - Cinema,546
Monthly,Instore,14th Street Pizza Co.,532
Weekly,Instore,Bachaa Party,517
Weekly,Instore,SAYA,513
Monthly,Instore,McDonald's,484
Monthly,Ecom,AirSial,481
Half Yearly,Instore,KFC,453
Quarterly,Instore,KFC,390
Weekly,Instore,Kruncheese,389
Weekly,Instore,Peekabear,379
Weekly,Instore,Almirah,345
Monthly,Instore,Bachaa Party,340
Weekly,Instore,Al Kaif Pizza,292
Monthly,Instore,Raiha Cinegold - Cinema,286
Weekly,Instore,California Pizza,281
Weekly,Instore,Baskin Robbins,263
Monthly,Instore,Peekabear,213
Weekly,Instore,Broadway Pizza,205
Weekly,Instore,Giggle Town,196
Monthly,Instore,Baskin Robbins,195
Monthly,Instore,SAYA,185
Weekly,Instore,Bounce,177
Monthly,Ecom,Tapmad,176
Monthly,Instore,GreenO,172
Monthly,Instore,The Arena - Cinema,165
Weekly,Instore,GreenO,160
Monthly,Ecom,LOGO,158
Weekly,Instore,Papa Johns,158
Weekly,Instore,Onederland,155
Monthly,Instore,Super Space,147
Monthly,Instore,Broadway Pizza,133
Half Yearly,Instore,Tim Hortons,128
Monthly,Ecom,Telemart Pvt Ltd.,113
Monthly,Instore,Cinnabon,106
Quarterly,Instore,Tim Hortons,100
Monthly,Instore,Kruncheese,99
Half Yearly,Instore,J. (Junaid Jamshed),97
Monthly,Instore,California Pizza,97
Monthly,Instore,Almirah,97
Monthly,Instore,Tayto,93
Quarterly,Instore,J. (Junaid Jamshed),62
Half Yearly,Instore,McDonald's,49
Half Yearly,Instore,Baskin Robbins,48
Half Yearly,Instore,Hardee's,47
Quarterly,Instore,McDonald's,43
Half Yearly,Instore,GreenO,43
Quarterly,Instore,Domino's,36
Half Yearly,Instore,Bachaa Party,35
Half Yearly,Instore,Domino's,32
Quarterly,Instore,Hardee's,32
Quarterly,Instore,Baskin Robbins,30
Quarterly,Instore,Bachaa Party,25
Half Yearly,Ecom,AirSial,22
Quarterly,Instore,GreenO,17
Half Yearly,Instore,Peekabear,16
Half Yearly,Instore,Raiha Cinegold - Cinema,16
Quarterly,Ecom,AirSial,15
Half Yearly,Instore,SAYA,15
Half Yearly,Instore,OPTP,14
Half Yearly,Instore,Almirah,13
Half Yearly,Instore,Cinnabon,13
Quarterly,Instore,Raiha Cinegold - Cinema,13
Quarterly,Instore,Cinnabon,12
Half Yearly,Instore,California Pizza,12
Quarterly,Instore,SAYA,11
Quarterly,Instore,California Pizza,10
Quarterly,Instore,Super Space,9
Half Yearly,Instore,Broadway Pizza,9
Half Yearly,Instore,14th Street Pizza Co.,9
Half Yearly,Instore,Costa Coffee,9
Quarterly,Instore,Pie In The Sky,8
Half Yearly,Instore,Papa Johns,8
Quarterly,Instore,14th Street Pizza Co.,8
Quarterly,Instore,Dr. Essa Laboratory,8
Half Yearly,Instore,Giggle Town,8
Half Yearly,Instore,Dunkin',8
Half Yearly,Ecom,Tapmad,7
Quarterly,Instore,Broadway Pizza,7
Half Yearly,Instore,The Arena - Cinema,7
Quarterly,Ecom,Wego,7
Quarterly,Instore,Costa Coffee,7
Quarterly,Instore,Peekabear,6
Quarterly,Instore,Kruncheese,6
Quarterly,Instore,Almirah,6
Quarterly,Instore,Pizza Max,5
