city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Faisalabad,Android,Bill Payment,Manual,Monthly,10,2
Faisalabad,Android,Bill Payment,Manual,Quarterly,1,0
Faisalabad,Android,Bill Payment,Manual,Weekly,28,1
Faisalabad,Android,Credit/Debit Card,Manual,Half Yearly,3,1
Faisalabad,Android,Credit/Debit Card,Manual,Monthly,71,6
Faisalabad,Android,Credit/Debit Card,Manual,Weekly,125,15
Faisalabad,Android,Easypaisa,Auto,Half Yearly,1,1
Faisalabad,Android,Easypaisa,Auto,Monthly,163,44
Faisalabad,Android,Easypaisa,Auto,Quarterly,9,4
Faisalabad,Android,Easypaisa,Auto,Weekly,767,419
Faisalabad,Android,JazzCash,Manual,Monthly,136,10
Faisalabad,Android,JazzCash,Manual,Quarterly,1,1
Faisalabad,Android,JazzCash,Manual,Weekly,43,3
Faisalabad,Android,JazzCash Checkout,Auto,Half Yearly,16,9
Faisalabad,Android,JazzCash Checkout,Auto,Monthly,319,217
Faisalabad,Android,JazzCash Checkout,Auto,Quarterly,47,36
Faisalabad,Android,JazzCash Checkout,Auto,Weekly,3998,3039
Faisalabad,Android,Ufone,Auto,Monthly,28,28
Faisalabad,Android,Ufone,Auto,Weekly,91,61
Faisalabad,Android,Zindigi,Manual,Monthly,3,0
Faisalabad,Android,Zindigi,Manual,Weekly,2,0
Faisalabad,Android,Zong,Auto,Weekly,128,57
Faisalabad,Unknown,Bill Payment,Manual,Weekly,1,0
Faisalabad,Unknown,Credit/Debit Card,Manual,Weekly,1,0
Faisalabad,Unknown,Easypaisa,Auto,Monthly,3,2
Faisalabad,Unknown,Easypaisa,Auto,Weekly,19,15
Faisalabad,Unknown,JazzCash,Manual,Monthly,1,0
Faisalabad,Unknown,JazzCash Checkout,Auto,Monthly,9,5
Faisalabad,Unknown,JazzCash Checkout,Auto,Weekly,40,31
Faisalabad,Unknown,JazzWorld,Manual,Monthly,7,0
Faisalabad,Unknown,JazzWorld,Manual,Weekly,3,0
Faisalabad,Unknown,Ufone,Auto,Weekly,1,0
Faisalabad,iOS,Bill Payment,Manual,Monthly,8,0
Faisalabad,iOS,Bill Payment,Manual,Weekly,13,1
Faisalabad,iOS,Credit/Debit Card,Manual,Half Yearly,2,0
Faisalabad,iOS,Credit/Debit Card,Manual,Monthly,43,3
Faisalabad,iOS,Credit/Debit Card,Manual,Quarterly,1,0
Faisalabad,iOS,Credit/Debit Card,Manual,Weekly,60,6
Faisalabad,iOS,Easypaisa,Auto,Half Yearly,1,1
Faisalabad,iOS,Easypaisa,Auto,Monthly,64,22
Faisalabad,iOS,Easypaisa,Auto,Quarterly,1,0
Faisalabad,iOS,Easypaisa,Auto,Weekly,229,123
Faisalabad,iOS,JazzCash,Manual,Monthly,62,8
Faisalabad,iOS,JazzCash,Manual,Weekly,15,0
Faisalabad,iOS,JazzCash Checkout,Auto,Half Yearly,4,4
Faisalabad,iOS,JazzCash Checkout,Auto,Monthly,142,107
Faisalabad,iOS,JazzCash Checkout,Auto,Quarterly,24,19
Faisalabad,iOS,JazzCash Checkout,Auto,Weekly,1802,1379
Faisalabad,iOS,Ufone,Auto,Monthly,4,1
Faisalabad,iOS,Ufone,Auto,Weekly,147,130
Faisalabad,iOS,Zindigi,Manual,Monthly,1,1
Faisalabad,iOS,Zindigi,Manual,Weekly,2,2
Faisalabad,iOS,Zong,Auto,Weekly,67,31
Islamabad,Android,Bill Payment,Manual,Half Yearly,1,0
Islamabad,Android,Bill Payment,Manual,Monthly,34,6
Islamabad,Android,Bill Payment,Manual,Quarterly,1,0
Islamabad,Android,Bill Payment,Manual,Weekly,64,5
