city_grp,device,Transaction_Type,payment_mode,package,subscriptions,users,revenue,avg_uses
Faisalabad,Android,Bill Payment,Manual,Half Yearly,1,1,2300.0,2.0
Faisalabad,Android,Bill Payment,Manual,Monthly,10,10,5600.0,5.3
Faisalabad,Android,Bill Payment,Manual,Quarterly,1,1,1400.0,3.0
Faisalabad,Android,Bill Payment,Manual,Weekly,28,26,5600.0,2.75
Faisalabad,Android,Credit/Debit Card,Manual,Half Yearly,12,11,27600.0,6.083333333333333
Faisalabad,Android,Credit/Debit Card,Manual,Monthly,97,89,35054.0,3.082474226804124
Faisalabad,Android,Credit/Debit Card,Manual,Quarterly,3,3,4200.0,0.0
Faisalabad,Android,Credit/Debit Card,Manual,Weekly,125,105,25000.0,1.808
Faisalabad,Android,Easypaisa,Auto,Half Yearly,8,7,18400.0,8.75
Faisalabad,Android,Easypaisa,Auto,Monthly,284,231,97532.0,2.3732394366197185
Faisalabad,Android,Easypaisa,Auto,Quarterly,11,7,15400.0,3.8181818181818183
Faisalabad,Android,Easypaisa,Auto,Weekly,774,289,154800.0,1.1602067183462532
Faisalabad,Android,JazzCash,Manual,Monthly,136,123,54800.0,4.242647058823529
Faisalabad,Android,JazzCash,Manual,Quarterly,1,1,1400.0,23.0
Faisalabad,Android,JazzCash,Manual,Weekly,43,41,8600.0,1.7906976744186047
Faisalabad,Android,JazzCash Checkout,Auto,Half Yearly,37,28,85100.0,3.4054054054054053
Faisalabad,Android,JazzCash Checkout,Auto,Monthly,522,269,229440.0,1.289272030651341
Faisalabad,Android,JazzCash Checkout,Auto,Quarterly,73,35,102200.0,5.986301369863014
Faisalabad,Android,JazzCash Checkout,Auto,Weekly,4047,637,809400.0,0.445021003212256
Faisalabad,Android,Ufone,Auto,Monthly,32,4,19200.0,1.5625
Faisalabad,Android,Ufone,Auto,Weekly,92,21,18400.0,0.4782608695652174
Faisalabad,Android,Zindigi,Manual,Monthly,3,3,1200.0,2.6666666666666665
Faisalabad,Android,Zindigi,Manual,Weekly,2,2,400.0,5.5
Faisalabad,Android,Zong,Auto,Weekly,130,43,26000.0,0.16923076923076924
Faisalabad,Unknown,Bill Payment,Manual,Weekly,1,1,200.0,2.0
Faisalabad,Unknown,Credit/Debit Card,Manual,Monthly,1,1,79.0,0.0
Faisalabad,Unknown,Credit/Debit Card,Manual,Weekly,1,1,200.0,5.0
Faisalabad,Unknown,Easypaisa,Auto,Monthly,8,6,2195.0,0.25
Faisalabad,Unknown,Easypaisa,Auto,Weekly,20,5,4000.0,0.75
Faisalabad,Unknown,JazzCash,Manual,Monthly,1,1,400.0,1.0
Faisalabad,Unknown,JazzCash Checkout,Auto,Monthly,16,10,5953.0,2.5625
