package,top_brand,subscriptions,uses
Weekly,KFC,12520,38586
Monthly,KFC,6889,36955
Monthly,Tim Hortons,1439,7004
Half Yearly,KFC,513,5565
Weekly,14th Street Pizza Co.,1943,4951
Weekly,Tim Hortons,2068,4732
Weekly,Hardee's,1482,4280
Monthly,Hardee's,823,4081
Weekly,J. (Junaid Jamshed),2683,3759
Weekly,Super Space,785,3692
Weekly,Domino's,2125,3604
Quarterly,KFC,429,3290
Monthly,14th Street Pizza Co.,506,1959
Monthly,McDonald's,469,1840
Weekly,Raiha Cinegold - Cinema,1014,1817
Monthly,Domino's,511,1619
Half Yearly,Tim Hortons,139,1593
Monthly,J. (Junaid Jamshed),764,1579
Weekly,McDonald's,629,1477
Weekly,Kruncheese,397,1210
Weekly,Peekabear,370,1032
Weekly,AirSial,801,1012
Weekly,Bounce,174,963
Weekly,The Arena - Cinema,524,940
Quarterly,Tim Hortons,110,939
Monthly,AirSial,481,930
Monthly,Bachaa Party,299,813
Monthly,Peekabear,211,812
Monthly,Super Space,150,801
Weekly,Bachaa Party,503,773
Weekly,SAYA,487,748
Monthly,Baskin Robbins,198,746
Monthly,Kruncheese,112,684
Weekly,Giggle Town,193,630
Monthly,Raiha Cinegold - Cinema,236,630
Weekly,Al Kaif Pizza,293,616
Weekly,California Pizza,269,611
Weekly,Baskin Robbins,271,583
Monthly,Broadway Pizza,138,542
Monthly,GreenO,167,535
Monthly,Bounce,74,527
Weekly,Broadway Pizza,204,517
Weekly,Almirah,326,480
Monthly,Tayto,90,453
Half Yearly,Hardee's,51,443
Monthly,The Arena - Cinema,151,424
Half Yearly,McDonald's,51,400
Monthly,Costa Coffee,86,374
Monthly,Cinnabon,102,374
Monthly,Giggle Town,79,360
Weekly,Papa Johns,153,358
Monthly,Al Kaif Pizza,72,355
Monthly,Tapmad,170,339
Weekly,Raiha Cinegold - Food,120,335
Monthly,California Pizza,87,328
Half Yearly,Baskin Robbins,48,304
Weekly,Tayto,102,296
Half Yearly,GreenO,44,273
Half Yearly,J. (Junaid Jamshed),78,251
Half Yearly,Bachaa Party,41,241
Quarterly,McDonald's,41,197
Half Yearly,Domino's,32,184
Quarterly,Hardee's,33,177
Half Yearly,Peekabear,22,174
Quarterly,Domino's,31,149
Quarterly,J. (Junaid Jamshed),53,148
Quarterly,KHAS,2,138
Quarterly,Super Space,12,122
Quarterly,Baskin Robbins,27,116
Quarterly,GreenO,21,113
Half Yearly,Super Space,7,112
Quarterly,Kruncheese,6,106
Quarterly,Bachaa Party,25,101
Half Yearly,Bounce,8,93
Half Yearly,Juices Island,5,90
Quarterly,Bounce,5,84
Half Yearly,14th Street Pizza Co.,5,73
Half Yearly,Costa Coffee,7,72
Half Yearly,Cinnabon,10,65
Quarterly,AirSial,15,64
Half Yearly,Broadway Pizza,7,61
Half Yearly,Raiha Cinegold - Cinema,12,57
Half Yearly,Kruncheese,5,53
Half Yearly,AirSial,16,50
Quarterly,Peekabear,7,46
Half Yearly,California Pizza,9,43
Half Yearly,Giggle Town,9,41
Half Yearly,Pie In The Sky,8,40
Half Yearly,Haagen Dazs,4,40
Half Yearly,Tapmad,9,40
Quarterly,Cinnabon,10,39
Quarterly,14th Street Pizza Co.,6,38
Quarterly,Raiha Cinegold - Cinema,9,32
Quarterly,California Pizza,8,31
Quarterly,Raiha Cinegold - Food,3,30
Quarterly,Red Apple,4,27
Quarterly,PakWheels (Sell It For Me),2,26
Quarterly,Giggle Town,5,25
Quarterly,SAYA,12,25
Quarterly,Chief Burger,1,23
